25,89086
1050,1072
1044,5209
1039,0016
1033,5503
1028,1683
1022,8305
1017,54834
1012,3225
1007,1067
1001,5205
995,9374
990,35736
984,7412
979,13293
973,53265
967,9109
962,3043
956,71326
951,12146
945,55505
935,81445
926,10004
916,4184
906,7768
897,1766
887,4785
877,78046
868,0825
858,3846
848,68665
838,9889
829,2911
819,5933
809,8956
800,198
790,5005
780,803
771,10547
761,40814
751,7108
742,01355
732,31635
722,61926
712,9223
703,2254
693,5285
683,8318
674,13513
664,43854
654,74207
645,0457
635,3495
625,6534
615,95734
606,2615
596,56573
586,8701
577,1746
567,4793
557,7842
548,08923
538,3944
528,6999
519,0055
509,31128
499,61728
489,92358
480,23016
470,53696
460,84402
451,1514
441,4591
431,76715
422,0756
412,3844
402,69363
393,00333
383,31354
373,62427
363,93558
354,24747
344,56006
334,87335
325,18747
315,50244
305,8184
296,13535
286,45346
276,77286
267,09366
257,41602
247,74013
249,03677
250,33345
251,63017
252,92693
254,22371
255,52052
256,81735
258,11423
259,41113
260,70807
262,00507
263,30206
264,5991
265,89615
267,19324
268,49033
269,78748
271,08466
272,38184
273,67908
274,97632
276,2736
277,5709
278,86823
280,16556
281,46292
282,76035
284,05777
285,3552
286,65268
287,95016
289,24768
290,5452
291,84274
293,14035
294,43796
295,73557
297,0332
298,33087
299,62854
300,92624
302,22397
303,5217
304,81946
306,11725
307,41504
308,71286
310,0107
311,30856
312,6064
313,9043
315,2022
316,50012
317,79807
319,09604
320,39398
321,692
322,99
324,288
325,58606
326,8841
328,18216
329,48026
330,77835
332,07645
333,37457
334,67273
335,9709
337,26904
338,56723
339,86542
341,16364
342,46185
343,7601
345,05835
346,35663
347,65488
348,9532
350,2515
351,5498
352,8481
354,14645
355,44482
356,74316
358,04153
359,33994
360,63834
361,93674
363,23517
364,5336
365,83203
367,1305
357,4422
347,75455
338,06763
328,38147
318,69614
309,01175
299,32837
289,6461
279,96503
270,28534
260,6072
250,93071
241,2561
231,58363
221,91357
212,24623
202,58203
192,92142
183,26497
173,61337
163,9675
154,3284
144,69745
135,07639
125,46747
115,87374
106,29931
96,749886
87,23371
77,76297
68,35657
59,045242
49,882275
40,967342
32,505154
24,96052
19,433233
17,901228
21,247068
27,759724
35,748386
40,61055
45,617825
50,72727
55,91087
61,14977
66,43089
71,74492
77,08504
82,44618
87,82449
93,21702
98,62141
104,03582
109,45876
114,88902
120,32563
125,76775
131,2147
136,6659
142,12085
147,57916
153,04044
158,5044
163,97078
169,43932
174,90984
180,38216
185,85611
191,33154
196,80836
202,28644
207,76566
213,24596
218,72725
224,20946
229,6925
235,17636
240,66093
246,14621
251,63211
257,11862
262,6057
268,09332
273,58145
279,07
284,55902
290,04846
295,5383
301,02847
306,51904
312,00992
306,51904
301,02847
295,5383
290,04846
284,55902
279,07
273,58145
268,09332
262,6057
257,11862
251,63211
246,14621
240,66093
235,17636
229,6925
224,20946
218,72725
213,24596
207,76566
202,28644
196,80836
191,33154
185,85611
180,38216
174,90984
169,43932
163,97078
158,5044
153,04044
147,57916
142,12085
136,6659
131,2147
125,76775
120,32563
114,88902
109,45876
104,03582
98,62141
93,21702
87,82449
82,44618
77,08504
71,74492
66,43089
61,14977
55,91087
50,72727
45,617825
40,61055
35,748386
31,09948
26,77514
22,959501
19,946661
18,141108
17,911737
19,314783
22,040676
25,671423
29,878963
34,452618
39,26466
44,237362
49,32215
54,48766
59,712944
64,98358
70,289375
75,622925
80,978745
86,3527
91,74159
97,14294
102,55477
107,97551
113,403885
118,83885
124,27953
129,72522
135,17531
140,62927
